title,excerpt,website,url,date_published 
Why It’s So Hard for Young People to Date Offline, Meet-cutes are hard when nobody wants to talk to strangers., theatlantic.com, https://www.theatlantic.com/family/archive/2019/09/how-date-without-dating-apps/597439/, September 5  2019
An Appreciation of ‘Scrubs’ and the Inimitable Dr. Cox, Capturing the essence of one of TV’s most underrated series in a scene that navigates the show’s trademark balance of sad and silly., theringer.com, https://www.theringer.com/tv/2019/9/6/20852286/scrubs-tv-show-appreciation-hulu-dr-cox-john-c-mcginley-jd-zach-braff, September 6  2019
Scientists have identified the genes linked to left-handedness, For the first time; scientists have identified the genetic differences associated with left-handedness; a trait found in 10% of the human population., cnn.com, https://www.cnn.com/2019/09/05/health/uk-left-handed-genes-brain-structure-scn-scli-intl/index.html, September 5  2019
A Town for People with Chronic-Fatigue Syndrome, Patients moved from all over the country to Incline Village; Nevada; for an experimental drug. Then the drug disappeared., newyorker.com, https://www.newyorker.com/culture/personal-history/a-town-for-people-with-chronic-fatigue, September 3  2019
Why Can’t California Solve Its Housing Crisis?, It’s the epicenter of the tech industry and the wealthiest; most progressive state in the union; but homelessness is surging — and no one can agree on how to fix it., rollingstone.com, https://www.rollingstone.com/politics/politics-features/california-housing-crisis-causes-874803/, September 5  2019
A Nobel-Winning Economist Goes to Burning Man, Paul Romer; who won the 2018 Nobel prize for economics; argues that the coming century will need more “Burning Man urbanization.”, nytimes.com, https://www.nytimes.com/2019/09/05/upshot/paul-romer-burning-man-nobel-economist.html, September 5  2019
‘We May Have to Shoot Down This Aircraft’, What the chaos aboard Flight 93 on 9/11 looked like to the White House; to the fighter pilots prepared to ram the cockpit and to the passengers., politico.com, https://www.politico.com/magazine/story/2019/09/05/911-oral-history-flight-93-book-excerpt-228001, September 5  2019
How to turn $100 into $1 million; according to 9 self-made millionaires, Most of us can find ways to save $100. But how do we use that money to boost our finances? We asked nine successful investors; self-made millionaires and advisors at The Oracles to share their ideas on how to turn $100 into $1 million., cnbc.com, https://www.cnbc.com/2019/08/30/how-to-turn-100-into-1-million-according-to-self-made-millionaires.html, August 30  2019
Stop Keeping Score, Don’t waste your time tracking every little thing. You'll miss the big picture., getpocket.com, https://getpocket.com/explore/item/stop-keeping-score, November 28  2016
How to Make the Best Ultra-Buttery Croissants, Fermented and layered with loads of butter; Tartine’s signature croissant dough is the building block for so many more flaky twists; buns; and danish., getpocket.com, https://getpocket.com/explore/item/how-to-make-the-best-ultra-buttery-croissants, November 14  2017
Time-Management Tips From the Productivity Expert Who Trains Google Executives, Her fourth tip might surprise you., getpocket.com, https://getpocket.com/explore/item/time-management-tips-from-the-productivity-expert-who-trains-google-executives, November 21  2018
First Evidence That Offshore Wind Farms Are Changing the Oceans, Wind turbines can support vast colonies of marine species in areas where they were previously rare., technologyreview.com, https://getpocket.com/explore/item/first-evidence-that-offshore-wind-farms-are-changing-the-oceans, September 22  2017
The Doomed Mouse Utopia That Inspired the ‘Rats of NIMH’, Dr. John Bumpass Calhoun spent the ’60s and ’70s playing god to thousands of rodents., getpocket.com, https://getpocket.com/explore/item/the-doomed-mouse-utopia-that-inspired-the-rats-of-nimh, September 14  2016
The Key to Good Luck Is an Open Mind, The luckiest people may have a specific set of skills that bring chance opportunities their way., getpocket.com, https://getpocket.com/explore/item/the-key-to-good-luck-is-an-open-mind, March 26  2018
How to Spot a Perfect Fake: The World’s Top Art Forgery Detective, Forgeries have become so good – and so costly – that Sotheby’s has brought in its own in-house fraud-busting expert., theguardian.com, https://getpocket.com/explore/item/how-to-spot-a-perfect-fake-the-world-s-top-art-forgery-detective, June 15  2018
The Jackie Robinson of Rodeo, Five decades ago; Myrtis Dightman broke the color barrier in professional rodeo and became one of the best bull riders who ever lived. But his imprint on the sport was only just beginning., texasmonthly.com, https://getpocket.com/explore/item/the-jackie-robinson-of-rodeo, June 22  2018
This Is What Life Without Retirement Savings Looks Like, Many seniors are stuck with lives of never-ending work—a fate that could befall millions in the coming decades., theatlantic.com, https://getpocket.com/explore/item/this-is-what-life-without-retirement-savings-looks-like, February 22  2018
Some 83;000 Members of the U.S. Military Are Missing. This Group Tries to Bring Them Home., How elite military and scientific teams bring home fallen U.S. soldiers., getpocket.com, https://getpocket.com/explore/item/how-elite-military-and-scientific-teams-bring-home-fallen-u-s-soldiers, June 4  2018
Vincent van Gogh on Fear; Taking Risks; and How Making Inspired Mistakes Moves Us Forward, “However meaningless and vain; however dead life appears; the man of faith; of energy; of warmth … steps in and does something.”, brainpickings.org, https://getpocket.com/explore/item/vincent-van-gogh-on-fear-taking-risks-and-how-making-inspired-mistakes-moves-us-forward, November 2  2015
Dementia Made a New Man Out of My Dad, Raised in Apartheid-era South Africa; my mixed-race father had no shortage of scars. But as dementia overpowered his brain; I met a man I never knew existed., narratively.com, https://getpocket.com/explore/item/dementia-made-a-new-man-out-of-my-dad, May 24  2017
How IBM’s ThinkPad Became A Design Icon, Little about the PC industry of the early 1990s survives. But over 25 years after it was first introduced—and after many technological shifts—a ThinkPad remains a ThinkPad., getpocket.com, https://getpocket.com/explore/item/how-ibm-s-thinkpad-became-a-design-icon, October 5  2017
“Fake Toughness” vs. The Real Thing, Guys who are really tough rarely feel the need to show it., getpocket.com, https://getpocket.com/explore/item/fake-toughness-vs-the-real-thing, July 2  2019
